task,channel,ch_idx,mean_hc,std_hc,mean_gad,std_gad,U,p_raw,d,p_fdr,sig_raw,sig_fdr,diff
GNG,S1_D1,0,0.924717,0.040334,0.891273,0.078444,329.000000,0.112828,-0.600384,0.514053,False,False,-0.033444
GNG,S1_D3,1,0.924018,0.038971,0.919097,0.026570,303.000000,0.309165,-0.138983,0.557250,False,False,-0.004921
GNG,S2_D2,2,0.952967,0.018198,0.942625,0.031077,310.000000,0.241973,-0.445841,0.557250,False,False,-0.010342
GNG,S2_D1,3,0.931257,0.041526,0.903280,0.052078,342.000000,0.061495,-0.618446,0.514053,False,False,-0.027977
GNG,S2_D5,4,0.923367,0.033610,0.930406,0.036596,215.000000,0.375751,0.203351,0.557250,False,False,0.007038
GNG,S3_D1,5,0.923090,0.029505,0.908623,0.032181,325.000000,0.134101,-0.475840,0.514053,False,False,-0.014467
GNG,S3_D3,6,0.930160,0.033209,0.925466,0.029872,296.000000,0.387652,-0.145961,0.557250,False,False,-0.004694
GNG,S3_D4,7,0.916060,0.042870,0.917939,0.039459,249.000000,0.886955,0.044972,0.971427,False,False,0.001879
GNG,S3_D6,8,0.910992,0.035329,0.913548,0.040147,243.000000,0.784561,0.069141,0.971427,False,False,0.002556
GNG,S4_D4,9,0.935774,0.031642,0.938244,0.021301,264.000000,0.869709,0.086108,0.971427,False,False,0.002470
GNG,S4_D5,10,0.890081,0.058857,0.914533,0.046622,181.000000,0.103239,0.443243,0.514053,False,False,0.024452
GNG,S4_D7,11,0.913887,0.037282,0.915052,0.033399,257.000000,0.991275,0.032303,0.991275,False,False,0.001165
GNG,S5_D2,12,0.926880,0.027403,0.916485,0.029097,316.000000,0.193159,-0.371695,0.555331,False,False,-0.010395
GNG,S5_D5,13,0.935791,0.027615,0.915624,0.057745,300.000000,0.341419,-0.503963,0.557250,False,False,-0.020166
GNG,S5_D8,14,0.930936,0.030723,0.906961,0.048232,335.000000,0.086010,-0.641966,0.514053,False,False,-0.023975
GNG,S6_D3,15,0.922242,0.035461,0.918228,0.027237,301.000000,0.330437,-0.121598,0.557250,False,False,-0.004013
GNG,S6_D6,16,0.908652,0.041764,0.922836,0.043036,191.000000,0.158350,0.336253,0.520292,False,False,0.014184
GNG,S7_D4,17,0.907096,0.037772,0.916946,0.026784,215.000000,0.375751,0.284884,0.557250,False,False,0.009850
GNG,S7_D6,18,0.916350,0.040488,0.940353,0.029519,154.000000,0.026429,0.644069,0.514053,True,False,0.024003
GNG,S7_D7,19,0.929520,0.038957,0.933053,0.030522,254.000000,0.973830,0.096989,0.991275,False,False,0.003533
