hb,channel,ch_idx,act_hc,sem_hc,act_gad,sem_gad,U,p_raw,d,abs_d,diff,p_fdr,sig_raw,sig_fdr
HbO,S1_D1,0,0.925814,0.038553,0.890384,0.070580,353.000000,0.034815,-0.691372,0.691372,-0.035429,0.309875,True,False
HbO,S1_D3,1,0.931612,0.034779,0.922166,0.023495,326.000000,0.128512,-0.299457,0.299457,-0.009447,0.328420,False,False
HbO,S2_D2,2,0.952171,0.018502,0.936480,0.032357,339.000000,0.071182,-0.656032,0.656032,-0.015691,0.309875,False,False
HbO,S2_D1,3,0.934909,0.032542,0.907761,0.048278,350.000000,0.040866,-0.707200,0.707200,-0.027149,0.309875,True,False
HbO,S2_D5,4,0.928296,0.030891,0.929584,0.023632,266.000000,0.835409,0.044857,0.044857,0.001289,0.960721,False,False
HbO,S3_D1,5,0.927518,0.027350,0.904250,0.033508,357.000000,0.027951,-0.788770,0.788770,-0.023268,0.309875,True,False
HbO,S3_D3,6,0.930016,0.029756,0.919827,0.028348,311.000000,0.233285,-0.347712,0.347712,-0.010189,0.487778,False,False
HbO,S3_D4,7,0.912988,0.053688,0.913298,0.032568,279.000000,0.622659,0.006486,0.006486,0.000310,0.949731,False,False
HbO,S3_D6,8,0.911250,0.034582,0.913365,0.032605,252.000000,0.938984,0.062292,0.062292,0.002115,0.991275,False,False
HbO,S4_D4,9,0.941185,0.030606,0.935088,0.019690,333.000000,0.094310,-0.221481,0.221481,-0.006097,0.309875,False,False
HbO,S4_D5,10,0.914670,0.039702,0.918607,0.036786,236.000000,0.669763,0.101531,0.101531,0.003937,0.949731,False,False
HbO,S4_D7,11,0.912201,0.034105,0.910967,0.032333,269.000000,0.784561,-0.036790,0.036790,-0.001234,0.949731,False,False
HbO,S5_D2,12,0.937799,0.023040,0.925941,0.027177,317.000000,0.185782,-0.484671,0.484671,-0.011858,0.427298,False,False
HbO,S5_D5,13,0.935189,0.024376,0.919863,0.043154,305.000000,0.288819,-0.482800,0.482800,-0.015326,0.553569,False,False
