score,task,channel,ch_idx,n,r,p,p_fdr,sig_raw,sig_fdr
STAIT,GNG,S1_D1,0,16,-0.0915135381724765,0.736064926390394,0.7695224230445028,False,False
STAIT,GNG,S1_D3,1,16,-0.1476024809233492,0.5853957511703214,0.7695224230445028,False,False
STAIT,GNG,S2_D2,2,16,-0.09298956298171,0.7319526934223213,0.7695224230445028,False,False
STAIT,GNG,S2_D1,3,16,-0.1313662080217808,0.6277110834640669,0.7695224230445028,False,False
STAIT,GNG,S2_D5,4,16,-0.19188322520035397,0.47650771870640046,0.7695224230445028,False,False
STAIT,GNG,S3_D1,5,16,-0.4841361374285854,0.05739864113617225,0.5729391034193148,False,False
STAIT,GNG,S3_D3,6,16,-0.3321055820775357,0.20885942939267388,0.6513336432374336,False,False
STAIT,GNG,S3_D4,7,16,-0.13874633206794826,0.608331666383868,0.7695224230445028,False,False
STAIT,GNG,S3_D6,8,16,0.11365391031097889,0.6751424880884956,0.7695224230445028,False,False
STAIT,GNG,S4_D4,9,16,-0.026568446566202858,0.9221947983291219,0.9221947983291219,False,False
STAIT,GNG,S4_D5,10,16,-0.3940986240653424,0.13093311636523375,0.6513336432374336,False,False
STAIT,GNG,S4_D7,11,16,-0.2553522919973941,0.3398262486456175,0.6513336432374336,False,False
STAIT,GNG,S5_D2,12,16,-0.4575676908623825,0.07473118740251931,0.5729391034193148,False,False
STAIT,GNG,S5_D5,13,16,-0.38081440078224094,0.14561439673216087,0.6513336432374336,False,False
STAIT,GNG,S5_D8,14,16,-0.28044471375436353,0.29276112070719496,0.6513336432374336,False,False
STAIT,GNG,S6_D3,15,16,-0.2568283168066276,0.3369449028876156,0.6513336432374336,False,False
STAIT,GNG,S6_D6,16,16,-0.2671604904712621,0.3171686944187196,0.6513336432374336,False,False
STAIT,GNG,S7_D4,17,16,0.13431825764024777,0.619931027038218,0.7695224230445028,False,False
STAIT,GNG,S7_D6,18,16,0.15793465458798364,0.5590994827122883,0.7695224230445028,False,False
